rule_id,rule_name,crop,state,soil_type,farmer_category,land_min,land_max,income_limit,aadhaar_required,recommended_scheme,recommended_loan,recommended_insurance,priority
RULE0190,Priority Scheme Match for All Crops Growers on Laterite Soil in Maharashtra,All Crops,Maharashtra,Laterite Soil,FPO Member Farmer,0.02,10.08,150000,No,Rythu Bandhu Investment Support Scheme,Farm Mechanization / Tractor Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.7
RULE0191,Subsidy & Credit Pathway for Women Farmer in Maharashtra,Chilli,Maharashtra,Black Soil (Regur),Women Farmer,0.97,3.15,200000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Warehouse Receipt / Post-Harvest Loan,Private Comprehensive Crop Insurance Plan,9.4
RULE0192,Irrigation-Linked Scheme Match for Red Gram (Tur Dal) on Laterite Soil,Red Gram (Tur Dal),Karnataka,Laterite Soil,FPO Member Farmer,0.4,10.15,150000,No,Pradhan Mantri Fasal Bima Yojana (PMFBY),Agri Infrastructure & Cold Storage Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.6
RULE0193,Priority Scheme Match for Millets (Jowar/Bajra) Growers on Loamy Soil in All India,Millets (Jowar/Bajra),All India,Loamy Soil,Sharecropper,0.84,2.04,500000,No,Telangana Organic Farming Promotion Scheme,Crop Loan (Seasonal Agricultural Operations),Livestock Insurance Scheme,7.6
RULE0194,Insurance Recommendation for Chickpea (Gram) under Alluvial Soil Conditions,Chickpea (Gram),Telangana,Alluvial Soil,Small Farmer,1.17,2.35,150000,Yes,Mission for Integrated Development of Horticulture (MIDH),Gold Loan for Agricultural Purposes,Horticulture Crop Insurance Scheme,7.2
RULE0195,Loan Eligibility Check for Large Farmer Cultivating Grapes,Grapes,Maharashtra,Saline / Alkaline Soil,Large Farmer,5.48,10.4,250000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Fisheries & Aquaculture Loan,Horticulture Crop Insurance Scheme,6.8
RULE0196,Loan Eligibility Check for FPO Member Farmer Cultivating Horticulture Crops,Horticulture Crops,Maharashtra,Sandy Soil,FPO Member Farmer,0.3,10.27,250000,Yes,National Food Security Mission (NFSM),Farm Mechanization / Tractor Loan,Livestock Insurance Scheme,7.1
RULE0197,Government Scheme Trigger for Horticulture Crops Cultivation in Telangana (Rule Variant 2),Horticulture Crops,Telangana,Black Soil (Regur),Tenant Farmer,0.93,2.99,250000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Warehouse Receipt / Post-Harvest Loan,Livestock Insurance Scheme,5.8
RULE0198,Priority Scheme Match for Soybean Growers on Black Soil (Regur) in Andhra Pradesh,Soybean,Andhra Pradesh,Black Soil (Regur),Marginal Farmer,0.48,1.32,,No,"Formation and Promotion of 10,000 FPOs Scheme",Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,7.1
RULE0199,Priority Scheme Match for Chickpea (Gram) Growers on Clay Soil in All India,Chickpea (Gram),All India,Clay Soil,Tenant Farmer,0.8,3.41,500000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Gold Loan for Agricultural Purposes,Livestock Insurance Scheme,7.8
RULE0200,Government Scheme Trigger for Paddy Cultivation in Telangana,Paddy,Telangana,Alluvial Soil,Tenant Farmer,0.83,2.59,300000,Yes,Telangana Farm Mechanization Scheme,Solar Pump / Renewable Energy Agri Loan,Private Comprehensive Crop Insurance Plan,8.7
RULE0201,Irrigation-Linked Scheme Match for Grapes on Clay Soil,Grapes,Telangana,Clay Soil,FPO Member Farmer,0.26,10.52,,Yes,Telangana Organic Farming Promotion Scheme,Warehouse Receipt / Post-Harvest Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.8
RULE0202,Irrigation-Linked Scheme Match for Cotton on Loamy Soil,Cotton,Karnataka,Loamy Soil,Marginal Farmer,0.03,1.14,500000,No,National Mission on Natural Farming (NMNF),Crop Loan (Seasonal Agricultural Operations),Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.9
RULE0203,Risk Cover Advisory for Tenant Farmer on Black Soil (Regur),Sugarcane,Maharashtra,Black Soil (Regur),Tenant Farmer,0.66,3.09,,No,Telangana Millet Mission,Agri Infrastructure & Cold Storage Loan,Private Comprehensive Crop Insurance Plan,9.4
RULE0204,Small Holding Advisory Rule for Large Farmer Growing Chilli,Chilli,Telangana,Black Soil (Regur),Large Farmer,5.04,10.4,100000,No,Soil Health Card Scheme,Crop Loan (Seasonal Agricultural Operations),Livestock Insurance Scheme,6.6
RULE0205,Insurance Recommendation for Banana under Saline / Alkaline Soil Conditions,Banana,Andhra Pradesh,Saline / Alkaline Soil,Large Farmer,5.44,10.16,250000,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Kisan Credit Card (KCC),Private Comprehensive Crop Insurance Plan,8.5
RULE0206,Loan Eligibility Check for Marginal Farmer Cultivating Soybean,Soybean,Telangana,Sandy Soil,Marginal Farmer,0.06,1.87,300000,No,Mission for Integrated Development of Horticulture (MIDH),Micro Irrigation / Drip & Sprinkler Loan,Private Comprehensive Crop Insurance Plan,6.5
RULE0207,Subsidy & Credit Pathway for Women Farmer in Telangana (Rule Variant 3),Millets (Jowar/Bajra),Telangana,Alluvial Soil,Women Farmer,0.8,3.28,,Yes,Micro Irrigation Fund (MIF),Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,5.3
RULE0208,Government Scheme Trigger for Paddy Cultivation in Karnataka,Paddy,Karnataka,Loamy Soil,Tenant Farmer,0.85,2.52,,Yes,National Livestock Mission,Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.2
RULE0209,Priority Scheme Match for Mango Growers on Black Soil (Regur) in Andhra Pradesh,Mango,Andhra Pradesh,Black Soil (Regur),Marginal Farmer,0.25,1.27,,No,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Farmer Producer Organisation (FPO) Term Loan,Livestock Insurance Scheme,9.1
RULE0210,Subsidy & Credit Pathway for FPO Member Farmer in Maharashtra,Mango,Maharashtra,Black Soil (Regur),FPO Member Farmer,0.35,10.84,150000,Yes,Rythu Bima Life Insurance Scheme,Warehouse Receipt / Post-Harvest Loan,Horticulture Crop Insurance Scheme,8.6
RULE0211,Government Scheme Trigger for Wheat Cultivation in All India,Wheat,All India,Sandy Soil,Medium Farmer,2.4,5.33,100000,Yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Horticulture & Plantation Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.8
RULE0212,Priority Scheme Match for Paddy Growers on Red Soil in Karnataka,Paddy,Karnataka,Red Soil,FPO Member Farmer,0.21,10.17,200000,Yes,Soil Health Card Scheme,Agri Infrastructure & Cold Storage Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.7
RULE0213,Subsidy & Credit Pathway for Marginal Farmer in Telangana,Paddy,Telangana,Clay Soil,Marginal Farmer,0.12,1.4,150000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Agri Infrastructure & Cold Storage Loan,Private Comprehensive Crop Insurance Plan,8.5
RULE0214,Government Scheme Trigger for Soybean Cultivation in Karnataka,Soybean,Karnataka,Clay Soil,FPO Member Farmer,0.19,10.66,500000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Kisan Credit Card (KCC),Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.9
RULE0215,Irrigation-Linked Scheme Match for Paddy on Saline / Alkaline Soil (Rule Variant 3),Paddy,All India,Saline / Alkaline Soil,Small Farmer,1.35,2.59,500000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Fisheries & Aquaculture Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),5.6
RULE0216,Subsidy & Credit Pathway for Women Farmer in Telangana (Rule Variant 4),Soybean,Telangana,Loamy Soil,Women Farmer,0.62,3.26,500000,Yes,Mission for Integrated Development of Horticulture (MIDH),Horticulture & Plantation Loan,Private Comprehensive Crop Insurance Plan,5.5
RULE0217,Priority Scheme Match for Vegetables Growers on Laterite Soil in Andhra Pradesh (Rule Variant 2),Vegetables,Andhra Pradesh,Laterite Soil,Medium Farmer,2.44,5.86,500000,Yes,Paramparagat Krishi Vikas Yojana (PKVY),Horticulture & Plantation Loan,Private Comprehensive Crop Insurance Plan,9.0
RULE0218,Subsidy & Credit Pathway for Small Farmer in Karnataka,All Crops,Karnataka,Saline / Alkaline Soil,Small Farmer,1.3,2.38,150000,No,Pradhan Mantri Fasal Bima Yojana (PMFBY),Warehouse Receipt / Post-Harvest Loan,Private Comprehensive Crop Insurance Plan,7.5
RULE0219,Insurance Recommendation for Chilli under Saline / Alkaline Soil Conditions,Chilli,All India,Saline / Alkaline Soil,Women Farmer,0.56,3.01,150000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Micro Irrigation / Drip & Sprinkler Loan,Livestock Insurance Scheme,7.3
RULE0220,Irrigation-Linked Scheme Match for Cotton on Red Soil (Rule Variant 2),Cotton,Andhra Pradesh,Red Soil,Large Farmer,5.44,10.71,150000,Yes,Micro Irrigation Fund (MIF),Farm Mechanization / Tractor Loan,Private Comprehensive Crop Insurance Plan,5.0
RULE0221,Priority Scheme Match for Millets (Jowar/Bajra) Growers on Loamy Soil in Karnataka,Millets (Jowar/Bajra),Karnataka,Loamy Soil,Medium Farmer,2.17,5.41,300000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Farmer Producer Organisation (FPO) Term Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.9
RULE0222,Small Holding Advisory Rule for Small Farmer Growing Sugarcane,Sugarcane,Andhra Pradesh,Alluvial Soil,Small Farmer,1.33,2.34,100000,No,Pradhan Mantri Fasal Bima Yojana (PMFBY),Horticulture & Plantation Loan,Livestock Insurance Scheme,6.6
RULE0223,Irrigation-Linked Scheme Match for Turmeric on Laterite Soil,Turmeric,Andhra Pradesh,Laterite Soil,Women Farmer,0.57,3.91,250000,Yes,National Food Security Mission (NFSM),Horticulture & Plantation Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.3
RULE0224,Government Scheme Trigger for Vegetables Cultivation in Andhra Pradesh,Vegetables,Andhra Pradesh,Saline / Alkaline Soil,Small Farmer,1.38,2.06,250000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Solar Pump / Renewable Energy Agri Loan,Livestock Insurance Scheme,6.0
RULE0225,Risk Cover Advisory for Large Farmer on Sandy Soil,Millets (Jowar/Bajra),All India,Sandy Soil,Large Farmer,5.16,10.16,200000,Yes,Telangana Millet Mission,Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,5.8
RULE0226,Insurance Recommendation for Wheat under Sandy Soil Conditions,Wheat,Maharashtra,Sandy Soil,Women Farmer,0.77,3.42,200000,Yes,Telangana Organic Farming Promotion Scheme,Micro Irrigation / Drip & Sprinkler Loan,Horticulture Crop Insurance Scheme,5.4
RULE0227,Subsidy & Credit Pathway for FPO Member Farmer in Telangana (Rule Variant 2),Millets (Jowar/Bajra),Telangana,Sandy Soil,FPO Member Farmer,0.34,10.59,500000,No,Mission Kakatiya (Tank Restoration for Irrigation),Crop Loan (Seasonal Agricultural Operations),Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.6
RULE0228,Subsidy & Credit Pathway for FPO Member Farmer in Telangana (Rule Variant 3),Chilli,Telangana,Red Soil,FPO Member Farmer,0.2,10.12,,Yes,Telangana Horticulture Mission,Farm Mechanization / Tractor Loan,Horticulture Crop Insurance Scheme,9.4
RULE0229,Government Scheme Trigger for Red Gram (Tur Dal) Cultivation in Maharashtra,Red Gram (Tur Dal),Maharashtra,Saline / Alkaline Soil,Small Farmer,1.33,2.06,200000,Yes,Telangana Horticulture Mission,Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,6.3
RULE0230,Priority Scheme Match for Vegetables Growers on Saline / Alkaline Soil in Andhra Pradesh,Vegetables,Andhra Pradesh,Saline / Alkaline Soil,Women Farmer,0.77,3.54,250000,Yes,Micro Irrigation Fund (MIF),Kisan Credit Card (KCC),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.0
RULE0231,Small Holding Advisory Rule for Tenant Farmer Growing Oilseeds,Oilseeds,Andhra Pradesh,Laterite Soil,Tenant Farmer,0.81,2.95,250000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Agri Infrastructure & Cold Storage Loan,Livestock Insurance Scheme,7.1
RULE0232,Risk Cover Advisory for Large Farmer on Sandy Soil (Rule Variant 2),Horticulture Crops,Maharashtra,Sandy Soil,Large Farmer,5.42,10.07,,Yes,Rythu Bandhu Investment Support Scheme,Warehouse Receipt / Post-Harvest Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.9
RULE0233,Priority Scheme Match for Maize Growers on Saline / Alkaline Soil in Andhra Pradesh,Maize,Andhra Pradesh,Saline / Alkaline Soil,Marginal Farmer,0.17,1.37,250000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Dairy & Livestock Development Loan,Private Comprehensive Crop Insurance Plan,8.6
RULE0234,Subsidy & Credit Pathway for Small Farmer in Maharashtra (Rule Variant 2),Turmeric,Maharashtra,Saline / Alkaline Soil,Small Farmer,1.07,2.79,300000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Gold Loan for Agricultural Purposes,Livestock Insurance Scheme,8.8
RULE0235,Insurance Recommendation for Pulses under Sandy Soil Conditions,Pulses,All India,Sandy Soil,Large Farmer,5.36,10.91,300000,Yes,Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC),Horticulture Crop Insurance Scheme,9.8
RULE0236,Priority Scheme Match for All Crops Growers on Saline / Alkaline Soil in Karnataka,All Crops,Karnataka,Saline / Alkaline Soil,Sharecropper,0.99,2.69,500000,Yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Farmer Producer Organisation (FPO) Term Loan,Livestock Insurance Scheme,5.4
RULE0237,Subsidy & Credit Pathway for Small Farmer in Telangana (Rule Variant 3),Soybean,Telangana,Sandy Soil,Small Farmer,1.4,2.04,,Yes,Telangana Millet Mission,Crop Loan (Seasonal Agricultural Operations),Private Comprehensive Crop Insurance Plan,5.3
RULE0238,Risk Cover Advisory for Women Farmer on Laterite Soil (Rule Variant 2),Pulses,All India,Laterite Soil,Women Farmer,0.76,3.11,250000,Yes,Mission for Integrated Development of Horticulture (MIDH),Warehouse Receipt / Post-Harvest Loan,Private Comprehensive Crop Insurance Plan,8.9
RULE0239,Insurance Recommendation for Pulses under Black Soil (Regur) Conditions,Pulses,Karnataka,Black Soil (Regur),Marginal Farmer,0.22,1.18,100000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Kisan Credit Card (KCC),Private Comprehensive Crop Insurance Plan,6.3
RULE0240,Risk Cover Advisory for Marginal Farmer on Sandy Soil,Paddy,Andhra Pradesh,Sandy Soil,Marginal Farmer,0.13,1.98,250000,Yes,National Mission on Natural Farming (NMNF),Fisheries & Aquaculture Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.5
RULE0241,Loan Eligibility Check for Tenant Farmer Cultivating Banana,Banana,Telangana,Saline / Alkaline Soil,Tenant Farmer,0.56,2.6,250000,Yes,Telangana Micro Irrigation Project Subsidy,Dairy & Livestock Development Loan,Private Comprehensive Crop Insurance Plan,6.2
RULE0242,Subsidy & Credit Pathway for Small Farmer in All India,Turmeric,All India,Red Soil,Small Farmer,1.27,2.2,200000,Yes,Telangana Micro Irrigation Project Subsidy,Crop Loan (Seasonal Agricultural Operations),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.0
RULE0243,Risk Cover Advisory for Medium Farmer on Black Soil (Regur),Turmeric,Karnataka,Black Soil (Regur),Medium Farmer,2.45,5.53,,No,"Formation and Promotion of 10,000 FPOs Scheme",Dairy & Livestock Development Loan,Livestock Insurance Scheme,8.3
RULE0244,Insurance Recommendation for Red Gram (Tur Dal) under Saline / Alkaline Soil Conditions,Red Gram (Tur Dal),Maharashtra,Saline / Alkaline Soil,Medium Farmer,2.19,5.35,,Yes,National Mission on Natural Farming (NMNF),Micro Irrigation / Drip & Sprinkler Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.1
RULE0245,Loan Eligibility Check for Sharecropper Cultivating Oilseeds,Oilseeds,Telangana,Saline / Alkaline Soil,Sharecropper,0.82,2.73,250000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Warehouse Receipt / Post-Harvest Loan,Horticulture Crop Insurance Scheme,6.8
RULE0246,Small Holding Advisory Rule for Medium Farmer Growing Banana,Banana,Maharashtra,Laterite Soil,Medium Farmer,2.43,5.17,,Yes,Mission for Integrated Development of Horticulture (MIDH),Farm Mechanization / Tractor Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.1
RULE0247,Irrigation-Linked Scheme Match for Turmeric on Sandy Soil,Turmeric,Maharashtra,Sandy Soil,Small Farmer,1.11,3.0,200000,Yes,Telangana Millet Mission,Kisan Credit Card (KCC),Private Comprehensive Crop Insurance Plan,7.2
RULE0248,Government Scheme Trigger for Chilli Cultivation in All India,Chilli,All India,Loamy Soil,Tenant Farmer,0.57,2.96,200000,Yes,Telangana Organic Farming Promotion Scheme,Solar Pump / Renewable Energy Agri Loan,Horticulture Crop Insurance Scheme,8.7
RULE0249,Priority Scheme Match for Mango Growers on Red Soil in Maharashtra,Mango,Maharashtra,Red Soil,Tenant Farmer,0.65,2.69,100000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Warehouse Receipt / Post-Harvest Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.7
RULE0250,Insurance Recommendation for All Crops under Alluvial Soil Conditions (Rule Variant 2),All Crops,All India,Alluvial Soil,Sharecropper,0.87,2.99,150000,No,Telangana Farm Mechanization Scheme,Farmer Producer Organisation (FPO) Term Loan,Private Comprehensive Crop Insurance Plan,9.0
RULE0251,Priority Scheme Match for Vegetables Growers on Red Soil in All India,Vegetables,All India,Red Soil,Marginal Farmer,0.42,1.75,200000,Yes,Telangana Horticulture Mission,Gold Loan for Agricultural Purposes,Livestock Insurance Scheme,5.2
RULE0252,Government Scheme Trigger for Mango Cultivation in Andhra Pradesh,Mango,Andhra Pradesh,Saline / Alkaline Soil,Women Farmer,0.75,3.58,,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Agri Infrastructure & Cold Storage Loan,Livestock Insurance Scheme,8.1
RULE0253,Loan Eligibility Check for FPO Member Farmer Cultivating Horticulture Crops (Rule Variant 2),Horticulture Crops,All India,Saline / Alkaline Soil,FPO Member Farmer,0.28,10.3,500000,Yes,Telangana Horticulture Mission,Farmer Producer Organisation (FPO) Term Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.9
RULE0254,Small Holding Advisory Rule for Tenant Farmer Growing Groundnut,Groundnut,Telangana,Sandy Soil,Tenant Farmer,0.95,3.11,150000,No,National Livestock Mission,Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.8
RULE0255,Risk Cover Advisory for Marginal Farmer on Loamy Soil,Vegetables,Karnataka,Loamy Soil,Marginal Farmer,0.09,1.44,,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Crop Loan (Seasonal Agricultural Operations),Horticulture Crop Insurance Scheme,8.4
RULE0256,Government Scheme Trigger for Turmeric Cultivation in Karnataka (Rule Variant 2),Turmeric,Karnataka,Saline / Alkaline Soil,FPO Member Farmer,0.4,10.02,500000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Crop Loan (Seasonal Agricultural Operations),Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.8
RULE0257,Risk Cover Advisory for Sharecropper on Saline / Alkaline Soil,All Crops,Maharashtra,Saline / Alkaline Soil,Sharecropper,0.86,2.41,250000,No,Soil Health Card Scheme,Kisan Credit Card (KCC),Horticulture Crop Insurance Scheme,9.4
RULE0258,Small Holding Advisory Rule for Large Farmer Growing Oilseeds,Oilseeds,Andhra Pradesh,Laterite Soil,Large Farmer,5.22,10.38,250000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Kisan Credit Card (KCC),Horticulture Crop Insurance Scheme,8.4
RULE0259,Government Scheme Trigger for Grapes Cultivation in Telangana,Grapes,Telangana,Black Soil (Regur),Tenant Farmer,0.75,3.16,200000,Yes,Telangana Micro Irrigation Project Subsidy,Warehouse Receipt / Post-Harvest Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.9
RULE0260,Irrigation-Linked Scheme Match for Pulses on Loamy Soil,Pulses,Karnataka,Loamy Soil,FPO Member Farmer,0.11,10.82,150000,Yes,Telangana Farm Mechanization Scheme,Kisan Credit Card (KCC),Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.1
RULE0261,Government Scheme Trigger for Maize Cultivation in Andhra Pradesh (Rule Variant 2),Maize,Andhra Pradesh,Alluvial Soil,Marginal Farmer,0.14,1.7,150000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Horticulture & Plantation Loan,Livestock Insurance Scheme,8.6
RULE0262,Loan Eligibility Check for Tenant Farmer Cultivating Maize (Rule Variant 2),Maize,Andhra Pradesh,Sandy Soil,Tenant Farmer,0.85,3.1,200000,Yes,National Livestock Mission,Fisheries & Aquaculture Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.3
RULE0263,Irrigation-Linked Scheme Match for Maize on Laterite Soil,Maize,Telangana,Laterite Soil,Sharecropper,0.99,2.57,100000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Farm Mechanization / Tractor Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.6
RULE0264,Loan Eligibility Check for Small Farmer Cultivating Chilli,Chilli,All India,Red Soil,Small Farmer,1.41,2.93,500000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Farm Mechanization / Tractor Loan,Private Comprehensive Crop Insurance Plan,9.1
RULE0265,Small Holding Advisory Rule for FPO Member Farmer Growing Chilli,Chilli,All India,Black Soil (Regur),FPO Member Farmer,0.43,10.96,100000,Yes,Telangana Horticulture Mission,Dairy & Livestock Development Loan,Livestock Insurance Scheme,9.6
RULE0266,Risk Cover Advisory for Small Farmer on Loamy Soil,Groundnut,Maharashtra,Loamy Soil,Small Farmer,1.23,2.88,100000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Horticulture & Plantation Loan,Private Comprehensive Crop Insurance Plan,8.4
RULE0267,Government Scheme Trigger for Soybean Cultivation in Maharashtra (Rule Variant 3),Soybean,Maharashtra,Clay Soil,Large Farmer,5.23,10.8,200000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Dairy & Livestock Development Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.8
RULE0268,Priority Scheme Match for Paddy Growers on Loamy Soil in Telangana,Paddy,Telangana,Loamy Soil,Small Farmer,1.44,2.36,100000,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Horticulture & Plantation Loan,Private Comprehensive Crop Insurance Plan,6.0
RULE0269,Risk Cover Advisory for Sharecropper on Red Soil,Oilseeds,Karnataka,Red Soil,Sharecropper,0.63,2.1,150000,No,Mission Kakatiya (Tank Restoration for Irrigation),Micro Irrigation / Drip & Sprinkler Loan,Private Comprehensive Crop Insurance Plan,9.1
RULE0270,Small Holding Advisory Rule for Tenant Farmer Growing Groundnut (Rule Variant 2),Groundnut,Karnataka,Black Soil (Regur),Tenant Farmer,0.65,3.46,250000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Horticulture & Plantation Loan,Private Comprehensive Crop Insurance Plan,9.4
RULE0271,Government Scheme Trigger for Wheat Cultivation in All India (Rule Variant 2),Wheat,All India,Red Soil,Sharecropper,0.87,2.34,300000,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Dairy & Livestock Development Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.5
RULE0272,Loan Eligibility Check for Small Farmer Cultivating Soybean,Soybean,Andhra Pradesh,Red Soil,Small Farmer,1.15,2.61,300000,Yes,Micro Irrigation Fund (MIF),Fisheries & Aquaculture Loan,Horticulture Crop Insurance Scheme,6.8
RULE0273,Subsidy & Credit Pathway for FPO Member Farmer in Telangana (Rule Variant 4),Pulses,Telangana,Laterite Soil,FPO Member Farmer,0.09,10.43,200000,Yes,National Mission on Natural Farming (NMNF),Solar Pump / Renewable Energy Agri Loan,Livestock Insurance Scheme,7.0
RULE0274,Small Holding Advisory Rule for Tenant Farmer Growing Chickpea (Gram),Chickpea (Gram),Maharashtra,Clay Soil,Tenant Farmer,0.96,2.79,100000,Yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Farm Mechanization / Tractor Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.4
RULE0275,Insurance Recommendation for Soybean under Loamy Soil Conditions,Soybean,Karnataka,Loamy Soil,Tenant Farmer,0.93,3.4,300000,Yes,National Mission on Natural Farming (NMNF),Crop Loan (Seasonal Agricultural Operations),Livestock Insurance Scheme,9.7
RULE0276,Government Scheme Trigger for Oilseeds Cultivation in All India,Oilseeds,All India,Clay Soil,Tenant Farmer,0.52,2.79,200000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Agri Infrastructure & Cold Storage Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.3
RULE0277,Small Holding Advisory Rule for Women Farmer Growing Wheat,Wheat,All India,Saline / Alkaline Soil,Women Farmer,0.92,3.58,,Yes,Paramparagat Krishi Vikas Yojana (PKVY),Kisan Credit Card (KCC),Private Comprehensive Crop Insurance Plan,5.5
RULE0278,Priority Scheme Match for Cotton Growers on Sandy Soil in Telangana,Cotton,Telangana,Sandy Soil,Sharecropper,0.54,2.8,100000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Farmer Producer Organisation (FPO) Term Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.0
RULE0279,Risk Cover Advisory for Marginal Farmer on Red Soil (Rule Variant 2),Maize,Telangana,Red Soil,Marginal Farmer,0.17,1.28,250000,Yes,Micro Irrigation Fund (MIF),Agri Infrastructure & Cold Storage Loan,Horticulture Crop Insurance Scheme,6.7
RULE0280,Risk Cover Advisory for Tenant Farmer on Alluvial Soil,Oilseeds,Maharashtra,Alluvial Soil,Tenant Farmer,0.87,3.13,300000,Yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,8.8
RULE0281,Insurance Recommendation for Oilseeds under Saline / Alkaline Soil Conditions (Rule Variant 2),Oilseeds,All India,Saline / Alkaline Soil,Marginal Farmer,0.36,1.8,150000,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Crop Loan (Seasonal Agricultural Operations),Private Comprehensive Crop Insurance Plan,8.5
RULE0282,Irrigation-Linked Scheme Match for Mango on Laterite Soil,Mango,Andhra Pradesh,Laterite Soil,Medium Farmer,2.23,5.18,250000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Horticulture & Plantation Loan,Private Comprehensive Crop Insurance Plan,7.4
RULE0283,Priority Scheme Match for Mango Growers on Saline / Alkaline Soil in All India,Mango,All India,Saline / Alkaline Soil,Sharecropper,0.76,2.58,100000,Yes,Telangana Millet Mission,Fisheries & Aquaculture Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.5
